City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Koboko,UG,3.4136,30.9599,68.63,42,100,2.33,overcast clouds
232,Gangarampur,IN,25.4,88.5167,58.69,86,100,13.82,light rain
233,Dingle,PH,10.9995,122.6711,80.76,79,81,16.53,broken clouds
234,Oistins,BB,13.0667,-59.5333,75.29,73,20,11.5,few clouds
235,Prieska,ZA,-29.6641,22.7474,68.02,46,0,4.63,clear sky
236,Shagonar,RU,51.5333,92.8,-15.25,97,89,1.63,overcast clouds
237,San Pedro,PH,14.35,121.0167,88.32,59,20,4.61,few clouds
238,Sisimiut,GL,66.9395,-53.6735,10.69,76,85,30.44,overcast clouds
239,Qiongshan,CN,20.0058,110.3542,58.98,88,75,8.95,broken clouds
240,Mersing,MY,2.4312,103.8405,84.11,79,40,9.22,scattered clouds
241,Derzhavinsk,KZ,51.1,66.3167,5.45,82,87,6.53,overcast clouds
242,Guanica,PR,17.9716,-66.908,75.2,86,65,4.94,broken clouds
243,Lucapa,AO,-8.4192,20.7447,62.94,99,100,0.78,overcast clouds
244,El Silencio,VE,10.5,-66.9167,67.05,83,20,3.44,few clouds
245,San Rafael,AR,-34.6177,-68.3301,67.17,65,100,1.52,overcast clouds
246,Pimentel,PE,-6.8367,-79.9342,70.41,83,73,11.83,broken clouds
247,Oktyabrskoye,RU,43.0645,44.7417,28.54,93,100,4.47,overcast clouds
248,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,82,100,11.43,overcast clouds
249,Hualmay,PE,-11.0964,-77.6139,70.56,82,83,8.48,broken clouds
250,Torbay,CA,47.6666,-52.7314,37.76,89,100,24.16,overcast clouds
251,Aginskoye,RU,51.1,114.53,0.23,79,4,10.85,clear sky
252,Fukue,JP,32.6881,128.8419,44.96,49,75,11.5,broken clouds
253,Birjand,IR,32.8663,59.2211,28.87,74,0,4.61,clear sky
254,Banda Aceh,ID,5.5577,95.3222,83.46,67,60,9.93,broken clouds
255,Saskylakh,RU,71.9167,114.0833,-15.02,97,100,1.81,overcast clouds
256,Necochea,AR,-38.5473,-58.7368,65.03,94,100,7.05,overcast clouds
257,Matara,LK,5.9485,80.5353,78.44,72,5,4.18,clear sky
258,Manaul,PH,12.453,121.4107,82.47,71,98,18.9,overcast clouds
259,Thompson,CA,55.7435,-97.8558,-20.04,69,0,5.75,clear sky
260,Aswan,EG,24.0934,32.907,52.5,38,0,8.46,clear sky
261,Broken Hill,AU,-31.95,141.4333,73.11,28,0,17.27,clear sky
262,Develi,TR,38.3906,35.4922,33.15,95,100,2.77,light snow
263,Lasa,IT,46.6166,10.7002,31.3,63,35,3.36,scattered clouds
264,Zavodskoy,RU,43.4597,132.2922,13.59,40,20,15.66,few clouds
265,Aasiaat,GL,68.7098,-52.8699,13.1,82,100,28.14,overcast clouds
266,Taltal,CL,-25.4,-70.4833,67.69,71,0,4.36,clear sky
267,Turukhansk,RU,65.8167,87.9833,5.63,95,99,12.01,light snow
268,Hope,US,33.6671,-93.5916,32.07,95,100,6.44,overcast clouds
269,Glen Cove,US,40.8623,-73.6337,50.76,92,100,1.99,light rain
270,North Bend,US,43.4065,-124.2243,45.86,99,0,6.91,clear sky
271,Sur,OM,22.5667,59.5289,70.2,43,0,2.93,clear sky
272,Madimba,TZ,-10.4,40.3333,77.45,89,91,7.7,light rain
273,Adrar,MR,20.5022,-10.0711,60.08,21,0,9.93,clear sky
274,Bentong,MY,3.5181,101.9079,85.44,59,93,3.71,light rain
275,Teya,RU,60.3778,92.6267,14.11,92,100,6.58,overcast clouds
276,Sumy,UA,50.9216,34.8003,19.33,95,93,9.28,overcast clouds
277,Oktyabrskiy,RU,54.4815,53.471,30.7,95,100,12.35,light snow
278,Zivinice,BA,44.4494,18.6497,26.82,100,0,1.14,clear sky
279,Kiruna,SE,67.8557,20.2251,-1.28,85,75,3.44,broken clouds
280,Valdivia,CL,-39.8142,-73.2459,59.09,98,11,2.42,few clouds
281,Kaduna,NG,10.5222,7.4383,62.13,16,0,12.46,clear sky
282,Mnogovershinnyy,RU,53.9353,139.9242,1.63,86,100,6.71,overcast clouds
283,Solnechnyy,RU,50.7214,136.6319,2.55,91,99,2.62,overcast clouds
284,Aklavik,CA,68.2191,-135.0107,-24.88,98,17,7.34,few clouds
285,Skibbereen,IE,51.55,-9.2667,42.12,74,77,15.26,broken clouds
286,Pevek,RU,69.7008,170.3133,-19.21,100,25,3.58,scattered clouds
287,Bereda,ES,43.2686,-7.5406,50.0,91,100,2.73,overcast clouds
288,Parsabad,IR,39.6482,47.9174,41.32,60,0,9.22,clear sky
289,Airai,TL,-8.9266,125.4092,73.83,61,78,5.08,broken clouds
290,Maravilha,BR,-26.7608,-53.1725,68.61,98,100,1.54,light rain
291,Hithadhoo,MV,-0.6,73.0833,81.73,74,100,10.11,overcast clouds
292,Parana,AR,-31.732,-60.5238,74.57,91,0,4.61,clear sky
293,Tura,IN,25.5198,90.2201,57.22,89,100,1.1,light rain
294,Nemuro,JP,43.3236,145.575,25.23,59,43,14.16,scattered clouds
295,Qixingtai,CN,30.4135,111.8874,47.82,43,0,1.74,clear sky
296,Nadym,RU,65.5333,72.5167,1.69,100,98,6.35,overcast clouds
297,Port Moresby,PG,-9.4431,147.1797,92.62,55,20,11.5,few clouds
298,Magugu,TZ,-4.0167,35.7667,66.4,80,100,3.11,overcast clouds
299,Thai Binh,VN,20.45,106.3333,60.8,65,100,8.14,overcast clouds
300,Lagunas,PE,-5.2269,-75.6753,73.63,88,99,1.54,moderate rain
301,Iwanai,JP,42.9744,140.5089,24.82,89,100,15.12,snow
302,Martapura,ID,-3.4167,114.85,86.09,70,40,3.44,scattered clouds
303,Komsomolskiy,UZ,40.4272,71.7189,31.42,74,2,2.3,clear sky
304,Inuvik,CA,68.3499,-133.7218,-24.84,68,20,2.3,few clouds
305,Boa Vista,BR,2.8197,-60.6733,82.38,61,0,11.5,clear sky
306,Vostok,RU,46.4856,135.8833,2.3,84,99,6.04,overcast clouds
307,Ust-Maya,RU,60.4167,134.5333,-13.16,87,100,3.78,overcast clouds
308,Inhambane,MZ,-23.865,35.3833,77.11,84,4,0.31,clear sky
309,Stillwater,US,36.1156,-97.0584,18.39,85,100,1.01,overcast clouds
310,West Plains,US,36.7281,-91.8524,18.43,88,100,5.99,overcast clouds
311,Luwuk,ID,-0.9516,122.7875,88.97,58,99,1.99,overcast clouds
312,Samarai,PG,-10.6167,150.6667,83.59,73,91,7.56,overcast clouds
313,Chapais,CA,49.7834,-74.8492,-27.62,100,40,2.48,scattered clouds
314,Berlevag,NO,70.8578,29.0864,20.64,81,96,13.51,overcast clouds
315,Atasu,KZ,48.6814,71.6433,0.01,82,0,5.55,clear sky
316,Gorontalo,ID,0.5412,123.0595,84.56,70,100,5.95,overcast clouds
317,Miraflores,MX,19.2167,-98.8083,63.25,66,1,4.0,clear sky
318,Floro,NO,61.5996,5.0328,37.36,93,75,21.85,broken clouds
319,Watertown,US,42.3709,-71.1828,47.7,95,100,0.0,light intensity drizzle
320,Zhigansk,RU,66.7697,123.3711,-25.37,96,89,3.62,overcast clouds
321,Garut,ID,-7.2024,107.8878,83.86,55,28,1.72,scattered clouds
322,Puerto Rondon,CO,6.2805,-71.1,79.43,58,61,4.94,broken clouds
323,Marshfield,US,44.6689,-90.1718,-0.49,65,0,4.61,clear sky
324,Roald,NO,62.5833,6.1333,40.12,87,100,25.32,light rain
325,Sinazongwe,ZM,-17.2614,27.4618,71.37,87,32,3.96,light rain
326,Manbij,SY,36.5281,37.9549,43.57,86,96,8.08,overcast clouds
327,Eunice,US,30.4944,-92.4176,40.96,88,100,13.24,overcast clouds
328,Aleksandrov Gay,RU,50.147,48.5704,27.23,94,100,7.45,overcast clouds
329,Chicama,PE,-7.8447,-79.1469,72.01,74,60,6.58,broken clouds
330,Moose Factory,CA,51.2585,-80.6094,-14.82,64,0,8.05,clear sky
331,Kayiry,UA,46.9454,33.7059,26.15,84,98,16.2,overcast clouds
332,Dire Dawa,ET,9.5931,41.8661,61.7,24,65,3.8,broken clouds
333,Iskateley,RU,67.6803,53.1512,2.53,98,100,3.15,overcast clouds
334,Mirpur Mathelo,PK,28.0227,69.5489,63.9,17,0,4.81,clear sky
335,Namatanai,PG,-3.6667,152.4333,84.43,69,76,10.2,broken clouds
336,Guiuan,PH,11.0333,125.7247,77.36,90,100,23.35,light rain
337,Caetite,BR,-14.0694,-42.475,65.19,88,34,6.02,scattered clouds
338,Marsa Matruh,EG,31.3525,27.2453,55.8,68,88,32.97,overcast clouds
339,Ibra,OM,22.6906,58.5334,62.71,61,0,2.39,clear sky
340,Verkhnyaya Inta,RU,65.9811,60.3094,14.22,96,100,5.5,overcast clouds
341,Narsaq,GL,60.9167,-46.05,25.02,96,100,9.31,snow
342,Khandyga,RU,62.6667,135.6,-23.98,93,82,0.96,broken clouds
343,Cayenne,GF,4.9333,-52.3333,79.09,90,75,3.0,broken clouds
344,Panalingaan,PH,8.7842,117.4231,86.2,63,11,7.92,few clouds
345,Bahia Blanca,AR,-38.7196,-62.2724,71.42,60,31,7.54,scattered clouds
346,Umm Kaddadah,SD,13.6017,26.6876,63.39,18,2,21.72,clear sky
